Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,120.94000244140625,121.73999786376953,117.94000244140625,118.16999816894531,886700.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-10,117.69999694824219,118.37999725341797,113.7699966430664,113.93000030517578,1024800.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
2018-10-11,114.0199966430664,114.51000213623047,109.87999725341797,110.29000091552734,1395700.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-12,111.81999969482422,111.81999969482422,108.45999908447266,109.29000091552734,1485100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-15,109.02999877929688,112.41999816894531,109.0199966430664,111.52999877929688,1562200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2018-10-16,113.0,116.2699966430664,111.95999908447266,113.88999938964844,1535900.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
2018-10-17,113.83999633789062,113.86000061035156,111.76000213623047,112.19999694824219,1299700.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-18,111.91999816894531,111.91999816894531,109.2300033569336,109.87999725341797,1257700.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-19,110.30000305175781,111.88999938964844,109.47000122070312,111.62999725341797,1332000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-22,111.30999755859375,112.1500015258789,110.11000061035156,111.06999969482422,917800.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-23,109.68000030517578,109.98999786376953,107.1500015258789,108.9800033569336,1003000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-24,108.97000122070312,110.08999633789062,106.4800033569336,106.66999816894531,826900.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-25,107.33000183105469,109.62999725341797,106.95999908447266,107.4000015258789,815800.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-26,105.72000122070312,107.08999633789062,104.23999786376953,106.51000213623047,854900.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-29,108.05000305175781,109.62000274658203,105.58999633789062,107.0999984741211,706300.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-30,107.23999786376953,110.45999908447266,107.23999786376953,109.76000213623047,917800.0,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-31,110.75,111.98999786376953,110.20999908447266,110.61000061035156,853400.0,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False
2018-11-01,110.5999984741211,111.68000030517578,109.13999938964844,110.9000015258789,951400.0,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False
2018-11-02,111.29000091552734,111.83999633789062,109.16000366210938,110.01000213623047,709000.0,True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False
2018-11-05,109.81999969482422,109.81999969482422,106.37000274658203,108.81999969482422,1132900.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-06,108.54000091552734,110.30999755859375,108.16999816894531,108.83000183105469,798800.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-07,109.43000030517578,111.30999755859375,108.30000305175781,111.05999755859375,532100.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-08,110.26000213623047,111.33999633789062,108.4800033569336,109.25,540100.0,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-09,108.55999755859375,109.01000213623047,106.2699966430664,106.72000122070312,975500.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2018-11-12,106.70999908447266,107.55999755859375,106.04000091552734,106.19999694824219,931200.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-13,106.54000091552734,108.08000183105469,105.05999755859375,105.41999816894531,964100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-14,106.0,107.44999694824219,104.48999786376953,105.22000122070312,771800.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-11-15,104.76000213623047,107.70999908447266,104.3499984741211,106.55999755859375,1110800.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-11-16,106.48999786376953,107.81999969482422,105.80000305175781,107.0199966430664,764900.0,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-19,106.69000244140625,109.04000091552734,106.44000244140625,108.51000213623047,893500.0,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,True,False,False
2018-11-20,107.62999725341797,108.2300033569336,104.0199966430664,104.37000274658203,726400.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-21,104.81999969482422,106.44999694824219,103.5199966430664,105.6500015258789,448700.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-23,105.11000061035156,105.80000305175781,104.70999908447266,105.41000366210938,189400.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-26,106.36000061035156,108.05999755859375,105.93000030517578,107.9800033569336,1441600.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,True,False
2018-11-27,107.41000366210938,108.29000091552734,105.12000274658203,105.94000244140625,647400.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-28,106.16999816894531,108.6500015258789,105.27999877929688,108.63999938964844,457100.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-29,108.2699966430664,108.81999969482422,105.77999877929688,106.23999786376953,1177200.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2018-11-30,106.38999938964844,108.25,106.12999725341797,106.36000061035156,1280300.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True
