Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,106.91999816894531,107.81999969482422,105.98999786376953,106.45999908447266,1192100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-10,105.9800033569336,106.0,104.11000061035156,104.30000305175781,3110500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-11,104.26000213623047,104.98999786376953,101.93000030517578,102.11000061035156,2730200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-12,104.0999984741211,104.76000213623047,101.05000305175781,102.52999877929688,2109900.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-15,102.83999633789062,103.06999969482422,101.0999984741211,101.91000366210938,1977600.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-16,102.54000091552734,104.3499984741211,102.5,104.13999938964844,1769400.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-17,104.11000061035156,105.27999877929688,103.68000030517578,105.12000274658203,2592500.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False
2018-10-18,104.58999633789062,105.19000244140625,103.29000091552734,103.41999816894531,2551400.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-19,103.69999694824219,105.12000274658203,100.52999877929688,100.69999694824219,2730000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-22,101.33000183105469,102.73999786376953,100.72000122070312,102.41000366210938,2426900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-23,101.29000091552734,103.44000244140625,100.58999633789062,102.19999694824219,2012500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-24,102.36000061035156,102.98999786376953,99.83999633789062,99.93000030517578,2861000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-25,101.87999725341797,103.94999694824219,99.05999755859375,102.05000305175781,3043500.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-10-26,99.62000274658203,101.13999938964844,97.87999725341797,100.61000061035156,2247900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-29,104.06999969482422,105.0,99.5999984741211,101.30999755859375,2784100.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-30,101.52999877929688,103.16000366210938,100.26000213623047,101.55000305175781,1298200.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-31,102.52999877929688,103.37999725341797,102.12999725341797,102.47000122070312,1971500.0,True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False
2018-11-01,102.69000244140625,103.55999755859375,101.77999877929688,103.16000366210938,1915900.0,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,True,False,False
2018-11-02,103.16000366210938,104.0999984741211,102.0199966430664,102.76000213623047,1674600.0,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False
2018-11-05,102.9800033569336,103.66999816894531,102.55999755859375,103.41999816894531,1243500.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-06,103.05999755859375,104.98999786376953,102.94000244140625,104.37999725341797,1566200.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-07,105.48999786376953,106.81999969482422,105.37000274658203,106.02999877929688,1722100.0,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,False,True
2018-11-08,105.91000366210938,107.16000366210938,105.62000274658203,107.05999755859375,1139000.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-11-09,106.80000305175781,107.19000244140625,105.77999877929688,107.01000213623047,1009200.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2018-11-12,107.0,107.0,105.23999786376953,105.55000305175781,1705500.0,False,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-13,106.1500015258789,107.25,105.4800033569336,106.0199966430664,1460100.0,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-14,106.9000015258789,107.25,105.56999969482422,105.7699966430664,1406500.0,False,False,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-15,105.63999938964844,108.11000061035156,104.12999725341797,107.6500015258789,1495100.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-16,107.08000183105469,109.19999694824219,107.05000305175781,108.75,1459100.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2018-11-19,108.56999969482422,109.2300033569336,106.58000183105469,107.08999633789062,1910000.0,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-20,106.0,106.83999633789062,104.7300033569336,106.12000274658203,1458700.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-11-21,106.5999984741211,107.83999633789062,105.41999816894531,106.88999938964844,1258900.0,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-23,106.1500015258789,107.5,106.1500015258789,106.68000030517578,593600.0,False,False,True,True,False,False,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-26,108.05000305175781,108.37000274658203,107.16000366210938,107.80000305175781,1137000.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-27,107.41000366210938,108.87000274658203,107.25,108.5199966430664,1315400.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-11-28,109.30999755859375,111.83999633789062,108.54000091552734,111.41999816894531,2567100.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True
2018-11-29,110.91999816894531,112.2699966430664,110.41999816894531,110.45999908447266,1752000.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-30,110.48999786376953,110.87000274658203,108.13999938964844,108.97000122070312,3402400.0,False,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True,True,False
2018-12-03,109.5,111.06999969482422,108.22000122070312,110.29000091552734,2432600.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False
